id,Predicted_Label
243,4
129,2
63,3
94,3
273,4
228,1
91,3
213,1
128,2
76,3
23,0
211,1
121,2
229,1
26,0
208,1
126,2
137,2
216,1
138,2
261,4
30,0
241,4
66,3
115,2
217,1
95,3
188,1
239,4
248,4
32,0
221,1
37,0
81,3
187,1
143,2
114,2
84,3
48,0
21,0
2,0
78,3
159,2
255,4
49,0
253,4
120,2
38,0
123,2
185,1
231,1
113,2
275,4
258,4
36,0
57,3
134,2
201,1
